Tribun 1,Baris,Nomor Kursi,Expected Data String)
C Bawah,1,1 - 15,"[[Tribun 1, Baris 1, Nomor Kursi 1],[Tribun 1, Baris 1, Nomor Kursi 2],...]"
C Bawah,2,1 - 15,
C Bawah,3,1 - 15,
C Bawah,4,1 - 15,
C Bawah,5,1 - 15,
C Bawah,6,1 - 15,
C Bawah,7,1 - 21,
C Bawah,8,1 - 21,
C Bawah,9,1 - 17,
C Bawah,10,1 - 17,
C Bawah,11,1 - 17,
C Bawah,12,1 - 17,
C Bawah,13,1 - 17,
C Bawah,14,1 - 17,
C Bawah,15,1 - 17,
C Bawah,16,1 - 17,
C Bawah,17,1 - 17,
D Bawah,1,28 - 42,
D Bawah,2,28 - 42,
D Bawah,3,28 - 42,
D Bawah,4,28 - 42,
D Bawah,5,28 - 42,
D Bawah,6,28 - 42,
D Bawah,7,22 - 42,
D Bawah,8,22 - 42,
D Bawah,9,18 - 34,
D Bawah,10,18 - 34,
D Bawah,11,18 - 34,
D Bawah,12,18 - 34,
D Bawah,13,18 - 34,
D Bawah,14,18 - 34,
D Bawah,15,18 - 34,
D Bawah,16,18 - 34,
D Bawah,17,18 - 34,
M Bawah,1,1 - 21,
M Bawah,2,1 - 21,
M Bawah,3,1 - 21,
M Bawah,4,1 - 21,
M Bawah,5,1 - 21,
M Bawah,6,1 - 21,
M Bawah,7,1 - 21,
M Bawah,8,1 - 21,
M Bawah,9,-,
M Bawah,10,1 - 17,
M Bawah,11,1 - 17,
M Bawah,12,1 - 17,
M Bawah,13,1 - 17,
M Bawah,14,1 - 17,
M Bawah,15,1 - 17,
M Bawah,16,1 - 17,
M Bawah,17,1 - 17,
M Bawah,18,1 - 17,
N Bawah,1,22 - 42,
N Bawah,2,22 - 42,
N Bawah,3,22 - 42,
N Bawah,4,22 - 42,
N Bawah,5,22 - 42,
N Bawah,6,22 - 42,
N Bawah,7,22 - 42,
N Bawah,8,22 - 42,
N Bawah,9,-,
N Bawah,10,18 - 34,
N Bawah,11,18 - 34,
N Bawah,12,18 - 34,
N Bawah,13,18 - 34,
N Bawah,14,18 - 34,
N Bawah,15,18 - 34,
N Bawah,16,18 - 34,
N Bawah,17,18 - 34,
N Bawah,18,18 - 34,
B Bawah,1,101 - 126,
B Bawah,2,101 - 126,
B Bawah,3,101 - 126,
B Bawah,4,101 - 126,
B Bawah,5,101 - 126,
B Bawah,6,101 - 126,
B Bawah,7,101 - 126,
B Bawah,8,-,
B Bawah,9,101 - 122,
B Bawah,10,101 - 122,
B Bawah,11,101 - 122,
B Bawah,12,101 - 122,
B Bawah,13,101 - 122,
B Bawah,14,101 - 122,
B Bawah,15,101 - 122,
B Bawah,16,101 - 122,
B Bawah,1,151 - 176,
B Bawah,2,151 - 176,
B Bawah,3,151 - 176,
B Bawah,4,151 - 176,
B Bawah,5,151 - 176,
B Bawah,6,151 - 176,
B Bawah,7,151 - 176,
B Bawah,8,-,
B Bawah,9,151 - 172,
B Bawah,10,151 - 172,
B Bawah,11,151 - 172,
B Bawah,12,151 - 172,
B Bawah,13,151 - 172,
B Bawah,14,151 - 172,
B Bawah,15,151 - 172,
B Bawah,16,151 - 172,
A Bawah,1,27 - 29,
A Bawah,2,27 - 29,
A Bawah,3,27 - 29,
A Bawah,4,18 - 29,
A Bawah,5,18 - 30,
A Bawah,6,18 - 31,
A Bawah,7,18 - 31,
A Bawah,8,-,
A Bawah,9,17 - 28,
A Bawah,10,18 - 30,
A Bawah,11,1 - 31,
A Bawah,12,1 - 32,
A Bawah,13,1 - 32,
A Bawah,14,1 - 35,
A Bawah,15,1 - 35,
A Bawah,16,1 - 37,
A Atas,17,1 - 5,
A Atas,18,1 - 19,
A Atas,19,1 - 20,
A Atas,20,1 - 21,
A Atas,21,1 - 21,
A Atas,22,1 - 22,
A Atas,23,1 - 23,
A Atas,24,-,
A Atas,25,1 - 29,
A Atas,26,1 - 29,
A Atas,27,1 - 30,
A Atas,28,1 - 31,
A Atas,29,1 - 32,
A Atas,30,1 - 32,
A Atas,31,1 - 33,
A Atas,32,1 - 33,
A Bawah,1,51 - 86,
A Bawah,2,51 - 87,
A Bawah,3,51 - 87,
A Bawah,4,51 - 87,
A Bawah,5,51 - 88,
A Bawah,6,51 - 88,
A Bawah,7,51 - 89,
A Bawah,8,-,
A Bawah,9,51 - 81,
A Bawah,10,51 - 82,
A Bawah,11,51 - 82,
A Bawah,12,51 - 83,
A Bawah,13,51 - 83,
A Bawah,14,51 - 83,
A Bawah,15,51 - 83,
A Bawah,16,51 - 84,
A Atas,17,51 - 60,
A Atas,18,51 - 67,
A Atas,19,51 - 68,
A Atas,20,51 - 69,
A Atas,21,51 - 69,
A Atas,22,51 - 70,
A Atas,23,51 - 71,
A Atas,24,-,
A Atas,25,51 - 77,
A Atas,26,51 - 78,
A Atas,27,51 - 78,
A Atas,28,51 - 79,
A Atas,29,51 - 79,
A Atas,30,51 - 80,
A Atas,31,51 - 80,
A Atas,32,51 - 81,
A Atas,18,101 - 117,
A Atas,19,101 - 117,
A Atas,20,101 - 118,
A Atas,21,101 - 118,
A Atas,22,101 - 119,
A Atas,23,101 - 119,
A Atas,24,-,
A Atas,25,101 - 125,
A Atas,26,101 - 125,
A Atas,27,101 - 126,
A Atas,28,101 - 126,
A Atas,29,101 - 127,
A Atas,30,101 - 127,
A Atas,31,101 - 128,
A Atas,32,101 - 128,
A Atas,17,151 - 155,
A Atas,18,151 - 167,
A Atas,19,151 - 167,
A Atas,20,151 - 167,
A Atas,21,151 - 167,
A Atas,22,151 - 167,
A Atas,23,151 - 167,
A Atas,24,-,
A Atas,25,151 - 173,
A Atas,26,151 - 171,
A Atas,27,151 - 168,
A Atas,28,151 - 163,
A Atas,29,151 - 160,
A Atas,30,151 - 159,
A Atas,31,151 - 156,
A Atas,32,151 - 154,
B Atas,17,201 - 207,
B Atas,18,201 - 223,
B Atas,19,201 - 223,
B Atas,20,201 - 223,
B Atas,21,201 - 223,
B Atas,22,201 - 223,
B Atas,23,201 - 223,
B Atas,17,251 - 253,
B Atas,18,251 - 261,
B Atas,19,251 - 261,
B Atas,20,251 - 261,
B Atas,21,251 - 261,
B Atas,22,251 - 261,
B Atas,23,251 - 261,
F1,1,351 - 353,
F1,2,351 - 353,
F1,3,351 - 353,
F1,4,351 - 362,
F1,5,351 - 363,
F1,6,351 - 363,
F1,7,351 - 363,
F1,8,-,
F1,9,351 - 363,
F1,10,351 - 363,
F1,11,351 - 381,
F1,12,351 - 382,
F1,13,351 - 382,
F1,14,351 - 385,
F1,15,351 - 385,
F1,16,351 - 387,
F2,17,401 - 405,
F2,18,401 - 419,
F2,19,401 - 420,
F2,20,401 - 421,
F2,21,401 - 421,
F2,22,401 - 422,
F2,23,401 - 423,
F2,24,-,
F2,25,401 - 429,
F2,26,401 - 429,
F2,27,401 - 430,
F2,28,401 - 431,
F2,29,401 - 432,
F2,30,401 - 432,
F2,31,401 - 433,
F2,32,401 - 433,
F1,1,301 - 337,
F1,2,301 - 337,
F1,3,301 - 337,
F1,4,301 - 337,
F1,5,301 - 338,
F1,6,301 - 338,
F1,7,301 - 339,
F1,8,-,
F1,9,301 - 331,
F1,10,301 - 332,
F1,11,301 - 332,
F1,12,301 - 333,
F1,13,301 - 333,
F1,14,301 - 333,
F1,15,301 - 333,
F1,16,301 - 334,
F2,17,301 - 310,
F2,18,351 - 367,
F2,19,351 - 367,
F2,20,351 - 368,
F2,21,351 - 369,
F2,22,351 - 370,
F2,23,351 - 371,
F2,24,-,
F2,25,351 - 377,
F2,26,351 - 378,
F2,27,351 - 378,
F2,28,351 - 379,
F2,29,351 - 379,
F2,30,351 - 380,
F2,31,351 - 380,
F2,32,351 - 381,
E2,18,301 - 317,
E2,19,301 - 317,
E2,20,301 - 318,
E2,21,301 - 318,
E2,22,301 - 319,
E2,23,301 - 319,
E2,24,-,
E2,25,301 - 325,
E2,26,301 - 325,
E2,27,301 - 326,
E2,28,301 - 326,
E2,29,301 - 327,
E2,30,301 - 327,
E2,31,301 - 327,
E2,32,301 - 328,
E2,17,251 - 255,
E2,18,251 - 268,
E2,19,251 - 268,
E2,20,251 - 268,
E2,21,251 - 268,
E2,22,251 - 268,
E2,23,251 - 268,
E2,24,-,
E2,25,251 - 273,
E2,26,251 - 271,
E2,27,251 - 269,
E2,28,251 - 263,
E2,29,251 - 260,
E2,30,251 - 259,
E2,31,251 - 256,
E2,32,251 - 254,
E Bawah,1,201 - 226,
E Bawah,2,201 - 226,
E Bawah,3,201 - 226,
E Bawah,4,201 - 226,
E Bawah,5,201 - 226,
E Bawah,6,201 - 226,
E Bawah,7,201 - 226,
E Bawah,8,-,
E Bawah,9,201 - 222,
E Bawah,10,201 - 222,
E Bawah,11,201 - 222,
E Bawah,12,201 - 222,
E Bawah,13,201 - 222,
E Bawah,14,201 - 222,
E Bawah,15,201 - 222,
E Bawah,16,201 - 222,
E Bawah,1,251 - 276,
E Bawah,2,251 - 276,
E Bawah,3,251 - 276,
E Bawah,4,251 - 276,
E Bawah,5,251 - 276,
E Bawah,6,251 - 276,
E Bawah,7,251 - 276,
E Bawah,8,-,
E Bawah,9,251 - 272,
E Bawah,10,251 - 272,
E Bawah,11,251 - 272,
E Bawah,12,251 - 272,
E Bawah,13,251 - 272,
E Bawah,14,251 - 272,
E Bawah,15,251 - 272,
E Bawah,16,251 - 272,
L Bawah,1,101 - 126,
L Bawah,2,101 - 126,
L Bawah,3,101 - 126,
L Bawah,4,101 - 126,
L Bawah,5,101 - 126,
L Bawah,6,101 - 126,
L Bawah,7,101 - 126,
L Bawah,8,-,
L Bawah,9,101 - 122,
L Bawah,10,101 - 122,
L Bawah,11,101 - 122,
L Bawah,12,101 - 122,
L Bawah,13,101 - 122,
L Bawah,14,101 - 122,
L Bawah,15,101 - 122,
L Bawah,16,101 - 122,
L Bawah,17,101 - 122,
L Bawah,18,-,
M Atas,19,101 - 122,
M Atas,20,101 - 122,
M Atas,21,101 - 122,
M Atas,22,101 - 122,
M Atas,23,101 - 122,
M Atas,24,101 - 122,
M Atas,25,101 - 122,
M Atas,26,-,
M Atas,27,101 - 126,
M Atas,28,101 - 126,
M Atas,29,101 - 126,
M Atas,30,101 - 126,
M Atas,31,101 - 126,
M Atas,32,101 - 126,
M Atas,33,101 - 126,
M Atas,34,101 - 126,
L Bawah,1,151 - 176,
L Bawah,2,151 - 176,
L Bawah,3,151 - 176,
L Bawah,4,151 - 176,
L Bawah,5,151 - 176,
L Bawah,6,151 - 176,
L Bawah,7,151 - 176,
L Bawah,8,-,
L Bawah,9,151 - 172,
L Bawah,10,151 - 172,
L Bawah,11,151 - 172,
L Bawah,12,151 - 172,
L Bawah,13,151 - 172,
L Bawah,14,151 - 172,
L Bawah,15,151 - 172,
L Bawah,16,151 - 172,
L Bawah,17,151 - 172,
L Bawah,18,-,
M Atas,19,251 - 296,
M Atas,20,251 - 296,
M Atas,21,251 - 296,
M Atas,22,251 - 296,
M Atas,23,251 - 296,
M Atas,24,251 - 296,
M Atas,25,251 - 296,
M Atas,26,-,
M Atas,27,251 - 276,
M Atas,28,251 - 276,
M Atas,29,251 - 276,
M Atas,30,251 - 276,
M Atas,31,251 - 276,
M Atas,32,251 - 276,
M Atas,33,251 - 276,
M Atas,34,251 - 276,
