Tribun 1,Baris,Nomor Kursi,Expected Data String)
C Bawah,1,1 - 15,"[[Tribun 1, Baris 1, Nomor Kursi 1],[Tribun 1, Baris 1, Nomor Kursi 2],...]"
C Bawah,2,1 - 15,
C Bawah,3,1 - 15,
C Bawah,4,1 - 15,
C Bawah,5,1 - 15,
C Bawah,6,1 - 15,
C Bawah,7,1 - 21,
C Bawah,8,1 - 21,
C Bawah,9,1 - 17,
C Bawah,10,1 - 17,
C Bawah,11,1 - 17,
C Bawah,12,1 - 17,
C Bawah,13,1 - 17,
C Bawah,14,1 - 17,
C Bawah,15,1 - 17,
C Bawah,16,1 - 17,
C Bawah,17,1 - 17,
D Bawah,1,28 - 42,
D Bawah,2,28 - 42,
D Bawah,3,28 - 42,
D Bawah,4,28 - 42,
D Bawah,5,28 - 42,
D Bawah,6,28 - 42,
D Bawah,7,22 - 42,
D Bawah,8,22 - 42,
D Bawah,9,18 - 34,
D Bawah,10,18 - 34,
D Bawah,11,18 - 34,
D Bawah,12,18 - 34,
D Bawah,13,18 - 34,
D Bawah,14,18 - 34,
D Bawah,15,18 - 34,
D Bawah,16,18 - 34,
D Bawah,17,18 - 34,
M Bawah,1,1 - 21,
M Bawah,2,1 - 21,
